Date,Channel,Visitors,Leads,Customers,Revenue,MarketingSpend
2024-01-01,Organic Search,1299,141,25,2695.023300553046,0.0
2024-01-01,Paid Ads,2444,393,20,2601.115011743209,3817.794070200303
2024-01-01,Social Media,1659,91,9,1136.140394234507,1904.395178890905
2024-01-01,Email Referral,554,154,52,5959.576086191567,0.0
2024-01-01,Direct,794,110,21,2639.9461603342925,0.0
2024-01-02,Organic Search,772,80,12,1564.526911140863,0.0
2024-01-02,Paid Ads,2259,354,29,3076.955440524929,2807.406959912039
2024-01-02,Social Media,2084,106,15,1996.8917132654865,2016.4088238554984
2024-01-02,Email Referral,777,208,82,12051.945660413176,0.0
2024-01-02,Direct,1079,156,34,4967.186199539298,0.0
2024-01-03,Organic Search,1176,112,18,2545.8637582367364,0.0
2024-01-03,Paid Ads,2379,416,26,2783.201492467191,4052.1399258207907
2024-01-03,Social Media,1596,80,11,1500.9539424225432,2644.421209966154
2024-01-03,Email Referral,561,144,43,6155.672365632527,0.0
2024-01-03,Direct,673,69,13,1511.3691593173855,0.0
2024-01-04,Organic Search,1419,154,28,4042.0978396068576,0.0
2024-01-04,Paid Ads,2084,416,36,4987.74092391821,2585.6050342350854
2024-01-04,Social Media,1777,116,14,1475.523998895313,972.2744944479903
2024-01-04,Email Referral,358,107,41,4941.284992223041,0.0
2024-01-04,Direct,1056,145,28,2907.7718737603104,0.0
2024-01-05,Organic Search,1038,121,23,3028.414319986987,0.0
2024-01-05,Paid Ads,2299,485,43,6219.001846753453,3009.4217212461217
2024-01-05,Social Media,1589,90,10,1430.3652916281717,811.0704031210929
2024-01-05,Email Referral,467,140,43,4557.710539767418,0.0
2024-01-05,Direct,967,112,24,3243.6227506742134,0.0
2024-01-06,Organic Search,1166,110,21,3110.5696596892167,0.0
2024-01-06,Paid Ads,2492,426,27,3522.911850872861,3125.0141888294843
2024-01-06,Social Media,1297,66,7,783.8466617334403,930.3929736534745
2024-01-06,Email Referral,533,146,51,5705.975737180619,0.0
2024-01-06,Direct,898,122,25,3290.3822882419745,0.0
2024-01-07,Organic Search,1317,110,21,2436.8190682203226,0.0
2024-01-07,Paid Ads,3376,550,28,3748.590106579195,1772.0007656906637
2024-01-07,Social Media,1334,92,10,1193.3676731502687,2541.396707462206
2024-01-07,Email Referral,506,133,40,5849.387236557126,0.0
2024-01-07,Direct,846,112,26,3321.761055079301,0.0
2024-01-08,Organic Search,1311,132,21,2197.757906196194,0.0
2024-01-08,Paid Ads,1923,335,28,4041.9209939711645,3211.051012026316
2024-01-08,Social Media,2157,149,15,2173.9156413953096,3040.601222528603
2024-01-08,Email Referral,517,165,57,7729.710780840478,0.0
2024-01-08,Direct,717,80,16,2197.1931240944195,0.0
2024-01-09,Organic Search,1392,147,26,2721.7771981765204,0.0
2024-01-09,Paid Ads,2665,468,29,4310.865304391045,2903.908154355375
2024-01-09,Social Media,1883,139,17,2118.6400397460343,1492.9638190355765
2024-01-09,Email Referral,582,187,54,7142.775198949353,0.0
2024-01-09,Direct,881,130,32,4564.815128747776,0.0
2024-01-10,Organic Search,1348,123,20,2851.136671516857,0.0
2024-01-10,Paid Ads,2129,402,38,4883.116223169794,1374.8331328569495
2024-01-10,Social Media,1646,112,16,2014.6637218909893,2989.234114590122
2024-01-10,Email Referral,587,187,56,7866.211235339839,0.0
2024-01-10,Direct,1059,148,35,5098.170966973825,0.0
2024-01-11,Organic Search,1303,145,26,3512.5569404350144,0.0
2024-01-11,Paid Ads,4041,831,78,9264.773515295781,2590.1715283454273
2024-01-11,Social Media,1654,105,13,1684.0416193698568,902.6711200987817
2024-01-11,Email Referral,508,128,47,4998.592204731929,0.0
2024-01-11,Direct,1134,125,27,2815.2190777415867,0.0
2024-01-12,Organic Search,1225,100,17,2159.5398533685902,0.0
2024-01-12,Paid Ads,3045,664,50,6987.965486921759,2759.526307639524
2024-01-12,Social Media,2048,129,13,1925.7214695406512,3592.1309302134964
2024-01-12,Email Referral,422,112,30,3823.839997059181,0.0
2024-01-12,Direct,1149,155,35,3989.8843196554,0.0
2024-01-13,Organic Search,1624,157,25,2944.965848314077,0.0
2024-01-13,Paid Ads,2912,591,29,2966.7038309315417,1633.9034085292617
2024-01-13,Social Media,1933,124,13,1607.7566510073677,1468.698821804089
2024-01-13,Email Referral,577,169,52,6851.243492255874,0.0
2024-01-13,Direct,880,115,24,3427.787809425987,0.0
2024-01-14,Organic Search,1106,117,18,1863.5118726603869,0.0
2024-01-14,Paid Ads,2419,462,44,5253.973837654348,3543.6713006180785
2024-01-14,Social Media,1818,115,14,1670.2718464605418,3530.166667547814
2024-01-14,Email Referral,451,127,47,6614.000934083999,0.0
2024-01-14,Direct,931,106,19,2561.9003070959434,0.0
2024-01-15,Organic Search,1379,150,28,3194.8484015998292,0.0
2024-01-15,Paid Ads,2622,425,37,5532.434512701246,2933.8253232926404
2024-01-15,Social Media,2183,131,19,2307.5443260062675,3550.2273114832583
2024-01-15,Email Referral,440,143,37,4634.716889028536,0.0
2024-01-15,Direct,821,118,24,2413.005181776358,0.0
2024-01-16,Organic Search,1389,161,24,2783.176365108498,0.0
2024-01-16,Paid Ads,3264,592,38,5077.785066546373,5315.625696126881
2024-01-16,Social Media,2119,156,21,2619.1413199377107,1242.4505187129039
2024-01-16,Email Referral,290,98,29,3107.337938976612,0.0
2024-01-16,Direct,1165,160,35,3676.964683214883,0.0
2024-01-17,Organic Search,1248,103,19,2570.9301157986715,0.0
2024-01-17,Paid Ads,2297,357,19,2255.557255968314,2425.547517718973
2024-01-17,Social Media,1584,116,14,2034.448069566315,1056.2052179594157
2024-01-17,Email Referral,478,143,35,3598.530732443215,0.0
2024-01-17,Direct,1090,140,34,4037.279985190297,0.0
2024-01-18,Organic Search,1354,123,23,2557.1352142973706,0.0
2024-01-18,Paid Ads,2527,554,29,4305.488676647694,3246.302378326949
2024-01-18,Social Media,2095,144,19,2496.1801760798603,2883.7077252183426
2024-01-18,Email Referral,488,152,44,5420.136490867961,0.0
2024-01-18,Direct,1046,123,27,2804.9417599027297,0.0
2024-01-19,Organic Search,1268,117,22,2953.2042898092673,0.0
2024-01-19,Paid Ads,3250,524,50,7374.4997832298095,5162.882603393255
2024-01-19,Social Media,1403,109,15,1519.7752308729391,1493.7671555948555
2024-01-19,Email Referral,683,226,89,11543.881683317002,0.0
2024-01-19,Direct,951,135,32,3949.9090556719525,0.0
2024-01-20,Organic Search,1182,114,18,1850.7379469858342,0.0
2024-01-20,Paid Ads,2603,572,57,7891.614133264455,4990.33779232594
2024-01-20,Social Media,1890,142,15,1596.8695613636212,3649.734662278478
2024-01-20,Email Referral,363,115,39,4121.437304789277,0.0
2024-01-20,Direct,980,130,28,3881.245748429895,0.0
2024-01-21,Organic Search,1435,146,25,3595.8170033229317,0.0
2024-01-21,Paid Ads,2527,450,25,3443.921569592024,3614.7833544053074
2024-01-21,Social Media,1510,81,8,1035.9670747418531,1643.4327621508937
2024-01-21,Email Referral,568,166,64,8044.766365311394,0.0
2024-01-21,Direct,826,108,25,3686.9007795720527,0.0
2024-01-22,Organic Search,1466,125,24,2990.539551695446,0.0
2024-01-22,Paid Ads,2387,521,38,5003.46162320178,2053.34138803532
2024-01-22,Social Media,1300,67,7,753.165942729303,920.7129866663498
2024-01-22,Email Referral,389,110,42,5601.871250894157,0.0
2024-01-22,Direct,973,105,20,2040.8686162664787,0.0
2024-01-23,Organic Search,1093,95,14,1484.4451097704205,0.0
2024-01-23,Paid Ads,2182,397,23,2878.929861483085,3350.6622741039123
2024-01-23,Social Media,1590,121,17,1935.346000925123,2717.7900523064513
2024-01-23,Email Referral,521,169,46,5452.085836420179,0.0
2024-01-23,Direct,1256,148,31,4258.579954107323,0.0
2024-01-24,Organic Search,1137,92,14,1899.3447101191869,0.0
2024-01-24,Paid Ads,2511,470,26,3292.40244639153,2168.7651519402093
2024-01-24,Social Media,2090,121,14,1625.455415908225,1707.8895019341676
2024-01-24,Email Referral,422,143,48,6694.010972657611,0.0
